"application_id","expected_decision","primary_reason","required_human_review","summary_explanation"
"APP-001","approve","meets_credit_income_collateral_policy","False","Application meets the MVP thresholds for credit, income, collateral, and consistency across evidence."
"APP-002","approve","meets_credit_income_collateral_policy","False","Application meets the MVP thresholds for credit, income, collateral, and consistency across evidence."
"APP-003","approve","meets_credit_income_collateral_policy","False","Application meets the MVP thresholds for credit, income, collateral, and consistency across evidence."
"APP-004","approve","meets_credit_income_collateral_policy","False","Application meets the MVP thresholds for credit, income, collateral, and consistency across evidence."
"APP-005","approve","meets_credit_income_collateral_policy","False","Application meets the MVP thresholds for credit, income, collateral, and consistency across evidence."
"APP-006","approve","meets_credit_income_collateral_policy","False","Application meets the MVP thresholds for credit, income, collateral, and consistency across evidence."
"APP-007","approve","meets_credit_income_collateral_policy","False","Application meets the MVP thresholds for credit, income, collateral, and consistency across evidence."
"APP-008","approve","meets_credit_income_collateral_policy","False","Application meets the MVP thresholds for credit, income, collateral, and consistency across evidence."
"APP-009","approve","meets_credit_income_collateral_policy","False","Application meets the MVP thresholds for credit, income, collateral, and consistency across evidence."
"APP-010","approve","meets_credit_income_collateral_policy","False","Application meets the MVP thresholds for credit, income, collateral, and consistency across evidence."
"APP-011","approve","meets_credit_income_collateral_policy","False","Application meets the MVP thresholds for credit, income, collateral, and consistency across evidence."
"APP-012","approve","meets_credit_income_collateral_policy","False","Application meets the MVP thresholds for credit, income, collateral, and consistency across evidence."
"APP-013","deny","credit_score_below_threshold","False","Application breaches a hard policy threshold that the MVP treats as non-approvable."
"APP-014","deny","dti_above_policy_limit","False","Application breaches a hard policy threshold that the MVP treats as non-approvable."
"APP-015","deny","income_document_mismatch","False","Application breaches a hard policy threshold that the MVP treats as non-approvable."
"APP-016","deny","ltv_above_policy_limit","False","Application breaches a hard policy threshold that the MVP treats as non-approvable."
"APP-017","manual_review","address_mismatch_requires_review","True","Application is plausible but contains discrepancies or borderline attributes that require analyst review."
"APP-018","manual_review","unexplained_large_deposits","True","Application is plausible but contains discrepancies or borderline attributes that require analyst review."
"APP-019","manual_review","employment_tenure_borderline","True","Application is plausible but contains discrepancies or borderline attributes that require analyst review."
"APP-020","manual_review","borderline_credit_and_affordability","True","Application is plausible but contains discrepancies or borderline attributes that require analyst review."
